2025-09-20 10:43:21,522 - INFO - Initial logging setup - logs/volatility_trading_20250920_104321.log
2025-09-20 10:43:21,523 - INFO - Checking case status...
2025-09-20 10:43:21,524 - DEBUG - Starting new HTTP connection (1): localhost:9999
2025-09-20 10:43:45,620 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:47,624 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:47,625 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:49,629 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:49,630 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:51,635 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:51,635 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:53,641 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:53,642 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:55,649 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:55,650 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:57,653 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:57,655 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:59,658 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:59,659 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:01,664 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:01,665 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:03,673 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:03,674 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:05,677 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:05,678 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:07,684 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:07,684 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:09,691 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:09,694 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:11,700 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:11,702 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:13,707 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:13,709 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:15,713 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:15,714 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:17,719 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:17,720 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:19,726 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:19,727 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:21,733 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:21,734 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:23,742 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:23,743 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:25,751 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:25,768 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:27,775 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:27,776 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:29,782 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:29,783 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:31,788 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:31,790 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:33,795 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:33,797 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:35,802 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:35,803 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:37,810 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:37,811 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:39,817 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:39,849 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:41,852 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:41,853 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:43,860 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:43,862 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:45,868 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:45,870 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:47,875 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:47,877 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:49,882 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:44:49,883 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:44:51,887 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 152
